,Unnamed: 0,id,song_title,artist,mp3,genre,votes,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
311,266,1q09CvCiufyzpETJkzOuzv,Gas Well,Charles Wesley Godwin,https://p.scdn.co/mp3-preview/db2fb460493bc413fd8fe48e288aeae2fbbc6746?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.435,0.663,2,-7.074,1,0.0299,0.0317,0.000753,0.292,0.0834,120.342,287476,4
312,267,6FevJcaJvt5EvsHnuJHBnb,Fast as You,Dwight Yoakam,https://p.scdn.co/mp3-preview/beb788ec789966b2977d9e949da8c9661a26a4a2?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.628,0.801,4,-7.926,1,0.0282,0.000479,0.0897,0.396,0.843,125.954,285200,4
313,268,0qCQg5TkfBfkTsQP3IhAmC,Southside Of Heaven,Ryan Bingham,https://p.scdn.co/mp3-preview/5ba83856a98f89be797597a42ebd1314ba649eda?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.387,0.499,7,-10.207,1,0.0259,0.0029,0.00373,0.0695,0.333,111.032,379160,4
314,269,3KIUKvwteP1HFA5UcvvL11,Pop a Top,Alan Jackson,https://p.scdn.co/mp3-preview/623afc52ecc1aea20fa1222c6f7a1d9818ff2a14?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.699,0.477,2,-9.339,1,0.031,0.291,0.0,0.164,0.83,118.382,185427,4
315,270,0EYBK3ZxxO8VlN5cJ9MiYN,One I Want,Flatland Cavalry,https://p.scdn.co/mp3-preview/3781099c276a265a03fc27ce02506867e91c55ed?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.499,0.539,7,-7.949,1,0.0269,0.0298,0.000145,0.131,0.39,86.97,231147,4
316,271,4REjaHRPmVb7btssqChJSy,American Remains,The Highwaymen,https://p.scdn.co/mp3-preview/5053d1376678e4ac7d560658ce69c18244264db6?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.684,0.495,10,-13.877,0,0.0422,0.47,6.98e-05,0.157,0.528,101.999,247000,4
317,272,4QWaq7U3fufJjy1rCBm6ds,Ain't Nothin' to It,Cody Johnson,https://p.scdn.co/mp3-preview/f1102b95efdb9f538497d08aad42429f88ff5e63?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.514,0.618,10,-5.673,1,0.0268,0.132,0.00078,0.0921,0.311,139.977,202360,4
318,273,0cThXovxrvU68JuzYUXhJT,Tulsa Time,Don Williams,https://p.scdn.co/mp3-preview/0385d1de8a6d9e21889b37ff69e5953e4a059cc0?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.916,0.57,4,-13.011,1,0.0334,0.458,0.000721,0.0595,0.957,104.415,195347,4
319,274,7rGkpH9orrg8clCCbbX0JA,Here In the Real World,Alan Jackson,https://p.scdn.co/mp3-preview/b6f0024d4d66698d8854ef9cf0a7952ba366144e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.582,0.416,3,-7.979,1,0.0245,0.0827,0.000269,0.162,0.448,86.923,218093,4
320,275,063e0QRQ1rcVWDuxItD8F7,Record High,Randall King,https://p.scdn.co/mp3-preview/2a7b95e81dbc42cfaa60e8c262ab1fbbfff4570f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.531,0.894,2,-4.087,1,0.0661,0.0145,0.00612,0.0487,0.667,141.974,185356,4
321,276,7F4WQ6WwJLVEDpjR9MG3bw,Sad Songs and Waltzes (with Willie Nelson),Cody Johnson,https://p.scdn.co/mp3-preview/14afa8fec084259dcb26e4f1499a544d6e20e4d1?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.546,0.351,11,-8.279,1,0.0271,0.701,3.14e-06,0.0997,0.283,105.79,211867,3
